GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
7185	0.00	0.00	0.207	39.071962	8.0818604	50718.34	TRAF1	TNF receptor associated factor 1
9560	0.00	0.00	0.243	48.87077	11.8974235	62341.63	CCL4L2	C-C motif chemokine ligand 4 like 2
4283	1.19e-303	1.82e-307	0.433	37.481892	16.2358825	278821.01	CXCL9	C-X-C motif chemokine ligand 9
414062	5.91e-240	1.20e-243	0.285	33.334941	9.5065785	43640.23	CCL3L3	C-C motif chemokine ligand 3 like 3
29126	1.78e-239	4.52e-243	0.287	33.295241	9.5427749	20558.84	CD274	CD274 molecule
3620	6.10e-238	1.87e-241	0.452	33.183453	14.9907114	227419.03	IDO1	indoleamine 2,3-dioxygenase 1
115362	1.30e-225	4.62e-229	0.271	32.312802	8.7546477	71314.95	GBP5	guanylate binding protein 5
330	2.97e-223	1.21e-226	0.247	32.140186	7.9265269	11893.32	BIRC3	baculoviral IAP repeat containing 3
6648	5.09e-209	2.33e-212	0.228	31.101014	7.0765284	642620.9	SOD2	superoxide dismutase 2
2643	1.08e-195	5.51e-199	0.288	30.095731	8.6819706	22295.68	GCH1	GTP cyclohydrolase 1
5272	1.59e-189	8.91e-193	0.271	29.61746	8.0168985	6460.46	SERPINB9	serpin family B member 9
145864	9.18e-187	5.61e-190	0.388	29.399261	11.3961345	17164.24	HAPLN3	hyaluronan and proteoglycan link protein 3
57823	4.37e-176	2.89e-179	0.271	28.548964	7.7337237	107874.72	SLAMF7	SLAM family member 7
2633	2.33e-173	1.67e-176	0.255	28.325756	7.2130198	150688.41	GBP1	guanylate binding protein 1
7130	2.58e-165	1.97e-168	0.332	27.662487	9.1946087	12252.64	TNFAIP6	TNF alpha induced protein 6
3553	6.72e-163	5.48e-166	0.269	27.458612	7.3778356	75061.36	IL1B	interleukin 1 beta
2634	9.11e-162	7.90e-165	0.243	27.36143	6.6580209	36308.3	GBP2	guanylate binding protein 2
6351	2.14e-161	1.97e-164	0.401	27.328084	10.9660692	40429.18	CCL4	C-C motif chemokine ligand 4
80149	9.76e-160	9.45e-163	0.219	27.186225	5.9606097	17919.96	ZC3H12A	zinc finger CCCH-type containing 12A
83856	3.54e-154	3.61e-157	0.245	26.709954	6.5307638	10164.38	FSD1L	fibronectin type III and SPRY domain containing 1 like
10133	1.31e-153	1.41e-156	0.182	26.659005	4.8486477	10492.16	OPTN	optineurin
255231	1.96e-150	2.20e-153	0.237	26.382056	6.2413048	20006.62	MCOLN2	mucolipin TRP cation channel 2
1847	6.53e-148	7.65e-151	0.28	26.159663	7.333654	10049.88	DUSP5	dual specificity phosphatase 5
400759	5.94e-143	7.26e-146	0.329	25.718492	8.4658851	5705.01	GBP1P1	guanylate binding protein 1 pseudogene 1
3627	1.57e-140	2.00e-143	0.47	25.499475	11.9962479	475130.68	CXCL10	C-X-C motif chemokine ligand 10
6373	3.60e-135	4.76e-138	0.492	25.009951	12.311754	200338.46	CXCL11	C-X-C motif chemokine ligand 11
7128	4.95e-133	6.81e-136	0.237	24.811043	5.8729453	73618.74	TNFAIP3	TNF alpha induced protein 3
1236	1.89e-128	2.70e-131	0.517	24.381282	12.6015871	48802.67	CCR7	C-C motif chemokine receptor 7
7453	2.97e-128	4.39e-131	0.237	24.36139	5.7776673	285730.19	WARS1	tryptophanyl-tRNA synthetase 1
27074	1.43e-127	2.18e-130	0.45	24.295654	10.9212497	53582.11	LAMP3	lysosomal associated membrane protein 3
